lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,command_x,command_y,command_yaw,torque_hip_LF,torque_thigh_LF,torque_knee_LF,torque_hip_RF,torque_thigh_RF,torque_knee_RF,torque_spine_roll,torque_spine_pitch,torque_hip_LH,torque_thigh_LH,torque_knee_LH,torque_hip_RH,torque_thigh_RH,torque_knee_RH,contact_LF,contact_RF,contact_LH,contact_RH
-0.049,0.177,0.324,-9.565,-0.56,-0.374,0.663,-0.37,0.0,1.907,-2.465,3.506,-0.476,-0.843,0.242,1.452,-0.297,2.584,4.068,1.732,-3.565,1.884,6.108,0.0,1.0,0.0,1.0
-0.037,0.096,0.257,-1.801,-0.241,-0.07,0.663,-0.37,0.0,-8.706,5.263,4.41,-5.071,0.477,-1.462,-0.6,-0.621,-3.357,-0.653,4.354,2.636,-6.519,3.467,0.0,0.0,1.0,1.0
-0.031,0.12,0.166,1.517,0.316,-0.029,0.663,-0.37,0.0,-8.555,3.135,3.811,-4.559,-1.732,0.431,6.003,3.51,-2.451,-1.559,5.366,7.471,-3.783,8.95,1.0,0.0,1.0,1.0
-0.038,0.126,0.152,0.874,0.364,-0.047,0.663,-0.37,0.0,-0.962,-7.676,7.459,-0.875,2.072,-0.376,8.158,1.073,1.382,1.716,2.011,1.083,1.624,10.344,1.0,0.0,1.0,1.0
-0.048,0.117,0.166,0.365,0.148,-0.109,0.663,-0.37,0.0,-0.436,-6.151,9.86,1.158,1.202,-0.576,5.511,-0.14,2.25,0.783,-0.591,-2.775,4.817,9.437,1.0,0.0,0.0,1.0
-0.049,0.116,0.15,-0.235,0.051,-0.138,0.663,-0.37,0.0,-0.681,-4.375,6.944,1.521,1.675,-0.735,4.354,-0.264,1.772,0.204,0.076,-2.083,4.223,8.692,1.0,0.0,0.0,1.0
-0.051,0.1,0.102,0.163,-0.05,-0.034,0.663,-0.37,0.0,-0.144,-4.048,5.652,-0.386,1.614,-1.758,3.452,-1.358,1.001,0.096,-2.439,2.419,3.86,8.18,1.0,0.0,0.0,1.0
-0.05,0.101,0.076,-0.424,-0.129,0.01,0.663,-0.37,0.0,-0.073,-3.274,5.508,0.805,0.357,-0.242,3.368,-1.335,0.209,0.437,-1.263,-0.403,4.046,8.936,1.0,0.0,0.0,1.0
-0.058,0.095,0.064,-0.45,-0.184,0.098,0.663,-0.37,0.0,-0.546,-6.779,6.14,0.327,0.594,0.325,3.829,-0.253,0.536,1.002,-0.217,0.965,2.685,8.986,1.0,0.0,0.0,1.0
-0.06,0.085,0.069,-0.187,-0.115,0.138,0.663,-0.37,0.0,0.413,-4.997,7.103,-0.484,-0.062,1.751,2.484,0.101,-0.637,1.985,2.084,-1.245,0.597,10.393,1.0,0.0,0.0,1.0
-0.06,0.065,0.071,-0.286,-0.089,0.061,0.663,-0.37,0.0,1.454,-4.557,9.089,0.139,0.751,-0.873,3.156,0.137,0.395,2.077,2.157,-2.742,1.549,10.121,1.0,0.0,0.0,1.0
-0.062,0.052,0.056,-0.253,-0.061,-0.038,0.663,-0.37,0.0,0.761,-3.571,8.16,0.043,0.507,-1.434,3.336,0.007,0.578,0.714,-0.155,-2.933,2.147,10.01,1.0,0.0,0.0,1.0
-0.07,0.04,0.061,0.395,-0.074,0.062,0.663,-0.37,0.0,-0.605,-3.86,8.621,-0.84,-0.079,1.03,3.729,-1.523,1.126,-0.398,-1.523,-1.896,1.883,11.169,1.0,0.0,0.0,1.0
-0.077,0.04,0.059,-0.42,-0.054,0.068,0.663,-0.37,0.0,1.536,-5.279,7.722,-0.623,0.544,0.237,4.996,-1.17,1.693,0.258,-1.002,-2.011,2.487,11.791,1.0,0.0,0.0,1.0
-0.087,0.026,0.058,0.204,-0.09,0.153,0.663,-0.37,0.0,-0.987,-6.149,8.112,-0.007,0.815,-0.436,4.114,-0.884,2.694,-0.586,-1.085,-1.735,3.79,11.184,1.0,0.0,0.0,1.0
-0.091,0.015,0.067,0.271,-0.191,0.188,0.663,-0.37,0.0,0.225,-5.406,8.603,-0.144,1.908,0.277,4.279,-0.231,1.719,0.996,1.65,0.453,4.02,9.535,1.0,0.0,0.0,1.0
-0.1,0.012,0.071,-0.434,-0.234,0.121,0.663,-0.37,0.0,1.463,-5.853,8.336,0.043,0.6,-0.281,4.563,-0.314,0.836,0.305,0.018,-2.151,3.509,9.945,1.0,0.0,0.0,1.0
